g.nR.d	g.nR.s	l.cnt	g_entrez_emt	g_tcga_gbm	g_escSig_eed	g_escSig_esTF	g_escSig_exp1	g_escSig_exp2	g_escSig_h3k27	g_escSig_myc	g_escSig_nanog	g_escSig_nos	g_escSig_oct4	g_escSig_prc2	g_escSig_sox2	g_escSig_suz12	g_fa	g_scm_pluri	g_siR	g_entrez_Ca
7040	TGFB1	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
7042	TGFB2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4851	NOTCH1	4	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
7049	TGFBR3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9241	NOG	4	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
3082	HGF	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1499	CTNNB1	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
650	BMP2	4	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
6615	SNAI1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7043	TGFB3	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
6662	SOX9	3	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
6275	S100A4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3182	HNRNPAB	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
3091	HIF1A	4	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
655	BMP7	5	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
10155	TRIM28	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
265	AMELX	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
6591	SNAI2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3611	ILK	4	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
9113	LATS1	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3690	ITGB3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7852	CXCR4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
7474	WNT5A	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
6935	ZEB1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2056	EPO	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4323	MMP14	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1906	EDN1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3987	LIMS1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
3397	ID1	4	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
10413	YAP1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
50855	PARD6A	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4950	OCLN	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4488	MSX2	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
54778	RNF111	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11279	KLF8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11187	PKP3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3918	LAMC2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1490	CTGF	6	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0
1445	CSK	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5894	RAF1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5747	PTK2	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
857	CAV1	5	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
7291	TWIST1	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2	A2M	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	ABCA3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10257	ABCC4	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10006	ABI1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
25	ABL1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
87	ACTN1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
100	ADA	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8038	ADAM12	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
8751	ADAM15	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
57188	ADAMTSL3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
133	ADM	4	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
158	ADSL	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
199	AIF1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
9131	AIFM1	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
207	AKT1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
10000	AKT3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230	ALDOC	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
238	ALK	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
267	AMFR	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10393	ANAPC10	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
284	ANGPT1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
57037	ANKMY2	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
301	ANXA1	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
302	ANXA2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
310	ANXA7	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
244	ANXA8	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
54518	APBB1IP	3	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
324	APC	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
358	AQP1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
369	ARAF	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
405	ARNT	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
259266	ASPM	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171023	ASXL1	3	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
136991	ASZ1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
472	ATM	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
529	ATP6V1E1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
545	ATR	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
