id.a	id.b	pmid	txt	db
1	10321	15461460	Affinity Capture-MS	BioGRID
1	10321	15461460	-	HPRD
2	259	1697852,7519849	Affinity Capture-Western	BioGRID
2	259	1697852,7519849,7533162	-	HPRD
2	354	1702714	Affinity Capture-Western	BioGRID
2	354	8583572	-	HPRD
2	1361	8662763	Reconstituted Complex	BioGRID
2	4313	9344465	Reconstituted Complex	BioGRID
2	3952	9724081	Reconstituted Complex	BioGRID
2	3952	9724081	-	HPRD
2	348	9831625	Affinity Capture-Western; Reconstituted Complex	BioGRID
2	348	9831625	-	HPRD
2	9510	10373500	Affinity Capture-Western	BioGRID
2	9510	10373500	-	HPRD
2	4035	10652313	Co-crystal Structure	BioGRID
2	4035	10652313	-	HPRD
2	4803	10681572	Reconstituted Complex	BioGRID
2	4803	10681572	-	HPRD
2	3565	10714547	Reconstituted Complex	BioGRID
2	3586	10714547	Reconstituted Complex	BioGRID
2	3586	10714547	-	HPRD
2	567	10731476	Reconstituted Complex	BioGRID
2	567	10731476	-	HPRD
2	5047	11023837	Co-purification; Reconstituted Complex	BioGRID
2	5047	11023837	-	HPRD
2	3931	11435418	Affinity Capture-Western; Reconstituted Complex	BioGRID
2	3931	11435418	-	HPRD
2	3309	12194978	Reconstituted Complex	BioGRID
2	3309	12194978	-	HPRD
2	26085	14687906	Reconstituted Complex	BioGRID
2	3553	9714181	-	HPRD
2	8728	11162584	-	HPRD
2	1990	6153632,6191979	-	HPRD
2	5155	10681572	-	HPRD
2	1508	2476070	-	HPRD
2	6774	15950906	An unspecified isoform of STAT3 binds APRE.	BIND
9	8260	12888564	-	HPRD
12	1991	8718849	Biochemical Activity	BioGRID
12	1991	8011628,8718849	-	HPRD
12	3817	9428387	Reconstituted Complex	BioGRID
12	3817	9042371,9428387	-	HPRD
12	64215	14668352	Reconstituted Complex; Two-hybrid	BioGRID
12	64215	14668352	-	HPRD
12	2153	8216224	-	HPRD
12	351	2190106|10048303	-	HPRD
12	354	8732755,9261179,10759471,11317942,11735417	-	HPRD
12	1215	8226889	-	HPRD
12	1504	2435303	-	HPRD
12	1506	8267879	-	HPRD
12	1511	8849841,9698370,10512690	-	HPRD
12	1511	15131125	Alpha-1 ACT interacts with and inhibits cathepsin G.	BIND
12	1990	2456771,7759598	-	HPRD
12	4035	15131125	LRP interacts with alpha-1-ACT.	BIND
12	2064	10829039	-	HPRD
12	5422	3490907	-	HPRD
12	4485	11274154	-	HPRD
15	7534	11336675	Co-crystal Structure; Co-purification	BioGRID
15	7534	11336675	-	HPRD
15	7534	8024705,11336675,11427721	AANAT interacts with 14-3-3-zeta isoform. This interaction was modeled on a demonstrated interaction between sheep AANAT and human 14-3-3-zeta.	BIND
16	1933	11829477	AlaRS interacts with an unspecified isoform of EF-1-beta.	BIND
18	7915	6470007	Reconstituted Complex	BioGRID
18	7915	6470007	-	HPRD
19	1387	11864601	Affinity Capture-Western	BioGRID
19	6645	12054535	Two-hybrid	BioGRID
19	6645	12054535	-	HPRD
19	335	12084722	Reconstituted Complex	BioGRID
19	8772	12235128	Reconstituted Complex; Two-hybrid	BioGRID
19	8772	12235128	-	HPRD
19	7508	12505994	Reconstituted Complex; Two-hybrid	BioGRID
20	55755	12421765	-	HPRD
22	2235	12480705	Affinity Capture-Western; Reconstituted Complex	BioGRID
22	2235	12480705	-	HPRD
23	3692	16169070	Two-hybrid	BioGRID
24	1258	10466724	Affinity Capture-Western	BioGRID
24	1258	10466724	-	HPRD
25	23616	1379745	Reconstituted Complex	BioGRID
25	23616	1379745	-	HPRD
