ann.probe	fdf.pCsc	fdf.EscCsc	g.id.num	out.gid	g.sym	g.chr	g.omim	n.ann.tsp	g.name	v.pb.csc	set.a.pb	lv_set.a	nov_set.a	lv_csc_nSetA	g.lv7.ALL	g.lv6.csc.Esc	g.lv5.p.csc	g.lv3.csc	tcnd	cor.mean.csc	cor.mean.p	cor.mean.Esc
221591_s_at	-0.739577474	-1.195737976	1	54478	FAM64A	chr17p13.2	---	6	"family with sequence similarity 64, member A"	0	1	0	1	0	0	0	0	0	com	0.222062021	0.198889154	0.390465103
235289_at	0.729934934	1.699678985	1	56648	EIF5A2	chr3q26.2	605782	3	eukaryotic translation initiation factor 5A2	0	1	1	0	0	0	0	0	0	com	0.235391953	0.232965717	0.242581907
201567_s_at	0.796419343	0.942989818	1	2803	GOLGA4	chr3p22-p21.3	602509	8	"golgi autoantigen, golgin subfamily a, 4"	1	1	1	0	0	0	0	0	1	com	0.20875942	0.338273903	0.375557854
204285_s_at	0.892757243	0.092519809	1	5366	PMAIP1	chr18q21.32	604959	6	phorbol-12-myristate-13-acetate-induced protein 1	0	1	0	1	0	0	0	0	0	com	0.248153121	0.26651921	0.463384893
217816_s_at	0.768900949	0.804285603	1	57092	PCNP	chr3q12.3	---	6	PEST proteolytic signal containing nuclear protein	0	1	0	1	0	0	0	0	0	com	0.232026453	0.341715231	0.435623042
205090_s_at	-0.616991012	0.262741508	1	51172	NAGPA	chr16p13.3	607985	8	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	0	1	0	1	0	0	0	0	0	com	0.189188339	0.211021468	0.409497628
201448_at	0.320981254	-0.131489493	1	7072	TIA1	chr2p13	603518	3	TIA1 cytotoxic granule-associated RNA binding protein	0	1	0	1	0	0	0	0	0	com	0.300302806	0.365824017	0.484766
1554868_s_at	0.729376801	1.219567598	1	57092	PCNP	chr3q12.3	---	7	PEST proteolytic signal containing nuclear protein	0	1	0	1	0	0	0	0	0	com	0.244617416	0.331809814	0.335394275
209714_s_at	-0.275228601	0.596317569	1	1033	CDKN3	chr14q22	123832	23	cyclin-dependent kinase inhibitor 3	0	1	0	1	0	0	0	0	0	com	0.240947586	0.229103405	0.381484893
205043_at	-0.750405479	-0.419242971	1	1080	CFTR	chr7q31.2	219700 /// 277180 /// 602421	2	"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"	0	1	0	1	0	0	0	0	0	com	0.22078502	0.28794983	0.369938086
227795_at	-0.18173398	-0.81264444	1	4723	NDUFV1	chr11q13	161015 /// 203450 /// 252010 /// 256000	35	"NDUFV1=NADH:ubiquinone oxidoreductase flavoprotein 1 subunit [human, kidney, mRNA Partial, 771 nt]"	0	1	0	1	0	0	0	0	0	com	0.150434045	0.310228797	0.378499496
215065_at	0.058069608	-0.582297921	1	23133	PHF8	chrXp11.22	300263 /// 300560	1	PHD finger protein 8	0	1	0	1	0	0	0	0	0	com	0.21164178	0.294868088	0.412236351
223822_at	0.213264164	0.527806243	1	55061	SUSD4	chr1q41	---	3	sushi domain containing 4	0	1	0	1	0	0	0	0	0	com	0.244189683	0.277056395	0.43115539
211713_x_at	-0.652036147	0.683369749	1	9768	KIAA0101	chr15q22.31	610696	5	KIAA0101	0	1	0	1	0	0	0	0	0	com	0.2357205	0.259110632	0.329033676
203978_at	-0.617722681	-0.138875229	1	4682	NUBP1	chr16p13.13	600280	6	"nucleotide binding protein 1 (MinD homolog, E. coli)"	0	1	0	1	0	0	0	0	0	com	0.218727197	0.233698607	0.421636982
36920_at	0.177130743	0.612158999	1	4534	MTM1	chrXq28	300415 /// 310400	5	myotubularin 1	0	1	0	1	0	0	0	0	0	com	0.20602622	0.271056096	0.381873982
207812_s_at	0.245762548	0.42383957	1	26003	GORASP2	chr2q31.1-q31.2	608693	4	"golgi reassembly stacking protein 2, 55kDa"	0	1	0	1	0	0	0	0	0	com	0.184791216	0.214029563	0.344640636
207341_at	-0.285965565	-0.466285298	1	5657	PRTN3	chr19p13.3	177020	1	proteinase 3	0	1	0	1	0	0	0	0	0	com	0.196881192	0.125908333	0.434339364
213431_x_at	-0.088951614	0.159111463	1	9814	SFI1	chr22q12.2	---	8	"Sfi1 homolog, spindle assembly associated (yeast)"	0	1	0	1	0	0	0	0	0	com	0.239714961	0.208307036	0.404195761
1552519_at	1.033022356	0.473559393	1	130399	ACVR1C	chr2q24.1	608981	9	"activin A receptor, type IC"	0	1	0	1	0	0	0	0	0	com	0.250546932	0.211676898	0.272396357
202240_at	-0.850044083	-0.399939855	1	5347	PLK1	chr16p12.1	602098	9	polo-like kinase 1 (Drosophila)	0	1	0	1	0	0	0	0	0	com	0.254697153	0.252321784	0.321683624
214099_s_at	1.01445472	1.123955381	1	9659	PDE4DIP	chr1q12	608117	8	phosphodiesterase 4D interacting protein	0	1	0	1	0	0	0	0	0	com	0.249374289	0.273144761	0.389796431
222857_s_at	0.349627859	-1.187553103	1	27345	KCNMB4	chr12q	605223	6	"potassium large conductance calcium-activated channel, subfamily M, beta member 4"	0	1	1	0	0	0	0	0	0	com	0.242056045	0.212714269	0.436906716
204766_s_at	-0.702214544	-0.966048122	1	4521	NUDT1	chr7p22	600312	28	nudix (nucleoside diphosphate linked moiety X)-type motif 1	0	1	0	1	0	0	0	0	0	com	0.256800159	0.231301129	0.424470705
226858_at	0.839604727	1.02726347	1	1454	CSNK1E	chr22q13.1	600863	1	"casein kinase 1, epsilon"	0	1	0	1	0	0	0	0	0	com	0.229564367	0.280712858	0.36169359
224454_at	0.839064525	0.79181866	1	55500	ETNK1	chr12p12.1	609858	2	ethanolamine kinase 1	0	1	0	1	0	0	0	0	0	com	0.227515757	0.177938057	0.223553909
201577_at	-0.739747329	-0.097601602	2	4830   4831	NME1 /// NME2	chr17q21.3	156490 /// 156491 /// 256700	14	"non-metastatic cells 1, protein (NM23A) expressed in /// non-metastatic cells 2, protein (NM23B) expressed in"	0	1	0	1	0	0	0	0	0	com	0.259726275	0.263474644	0.372527161
213599_at	-0.731434935	-1.442526242	1	11339	OIP5	chr15q15.1	606020	3	Opa interacting protein 5	0	1	0	1	0	0	0	0	0	com	0.250981843	0.283125615	0.383294852
201611_s_at	-0.568473102	-1.10993209	1	23463	ICMT	chr1p36.21	605851	3	isoprenylcysteine carboxyl methyltransferase	0	1	0	1	0	0	0	0	0	com	0.211441512	0.311561516	0.205725041
219076_s_at	-0.682963823	0.813234747	1	5827	PXMP2	chr12q24.33	---	6	"peroxisomal membrane protein 2, 22kDa"	0	1	1	0	0	0	0	0	0	com	0.2616931	0.204934999	0.280925028
214331_at	-0.739685699	-0.050521823	1	10102	TSFM	chr12q13-q14	604723 /// 610505	2	"Ts translation elongation factor, mitochondrial"	0	1	0	1	0	0	0	0	0	com	0.252879157	0.274456479	0.357439614
