label	node.type	out.nbhood	out.foc.cp	tcnd	hgU133p2.Mpb	chr	gname	x
TBP	1	3	160	.	203135_at	6q27	TATA box binding protein	203135_at
EP300	1	6	146.6666667	.	202221_s_at	22q13.2	E1A binding protein p300	202221_s_at
ESR1	1	11	112.5	.	215551_at	6q25.1	estrogen receptor 1	215551_at
CREBBP	1	9	99	.	211808_s_at	16p13.3	CREB binding protein	211808_s_at
TAF11	1	4	99	.	1558135_at	6p21.31	"TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa"	209358_at
SOCS1	1	12	81.75	lg	209999_x_at	16p13.13	suppressor of cytokine signaling 1	209999_x_at
RECQL	1	3	67	atrt	205091_x_at	12p12	RecQ protein-like (DNA helicase Q1-like)	205091_x_at
TERT	1	2	67	.	1555271_a_at	5p15.33	telomerase reverse transcriptase	207199_at
HNF1A	1	2	67	.	210515_at	12q22-qter|12q24.2	HNF1 homeobox A	210515_at
GRB2	1	14	66.66666667	snail	228572_at	17q24-q25	growth factor receptor-bound protein 2	215075_s_at
SP1	1	7	34	.	224754_at	12q13.1	Sp1 transcription factor	214732_at
TP53	1	5	34	.	211300_s_at	17p13.1	tumor protein p53	211300_s_at
IFNG	1	4	34	.	210354_at	12q14	"interferon, gamma"	210354_at
CPSF1	1	3	34	atrt	201639_s_at	8q24.23	"cleavage and polyadenylation specific factor 1, 160kDa"	201639_s_at
MLL2	1	2	34	.	227528_s_at	12q12-q14	myeloid/lymphoid or mixed-lineage leukemia 2	" 211790_s_at,216382_s_at,216845_x_at"
KPNA2	1	2	34	.	211762_s_at	17q24.2	"karyopherin alpha 2 (RAG cohort 1, importin alpha 1)"	211762_s_at
TXN	1	2	34	atrt	216609_at	9q31	thioredoxin	216609_at
RACGAP1	1	2	34	.	224272_at	12q13.13	Rac GTPase activating protein 1	222077_s_at
SERPINA1	1	2	34	lg	211429_s_at	14q32.1	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1"	211429_s_at
H2AFX	1	2	34	atrt	212524_x_at	11q23.2-q23.3	"H2A histone family, member X"	212524_x_at
VAMP3	1	4	10	.	201336_at	1p36.23	vesicle-associated membrane protein 3 (cellubrevin)	201336_at
STX1A	1	2	10	.	204729_s_at	7q11.23	syntaxin 1A (brain)	204729_s_at
CFTR	1	4	6.666666667	com	234702_x_at	7q31.2	"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"	" 205043_at,215702_s_at,215703_at,217026_at"
EIF2C2	1	4	1.666666667	atrt	225827_at	8q24	"eukaryotic translation initiation factor 2C, 2"	213310_at
TGFB1	1	2	0.5	.	203085_s_at	19q13.2|19q13.1	"transforming growth factor, beta 1"	203085_s_at
EGFR	2	9	0	.	211607_x_at	7p12	"epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)"	211607_x_at
E2F1	2	9	0	.	204947_at	20q11.2	E2F transcription factor 1	204947_at
SHC1	2	9	0	.	214853_s_at	1q21	SHC (Src homology 2 domain containing) transforming protein 1	214853_s_at
MAPK1	2	6	0	lg	1552263_at	22q11.2|22q11.21	mitogen-activated protein kinase 1	 208351_s_at
BIRC5	2	6	0	cn	210334_x_at	17q25	baculoviral IAP repeat-containing 5	210334_x_at
ERBB2	2	5	0	.	234354_x_at	17q11.2-q12|17q21.1	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"	" 210930_s_at,216836_s_at"
CD44	2	5	0	.	216056_at	11p13	CD44 molecule (Indian blood group)	216056_at
ERBB4	2	5	0	atrt	206794_at	2q33.3-q34	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	206794_at
STAT1	2	5	0	.	AFFX-HUMISGF3A/M97935_MA_at	2q32.2	"signal transducer and activator of transcription 1, 91kDa"	AFFX-HUMISGF3A/M97935_MA_at
TP73	2	5	0	.	220804_s_at	1p36.3	tumor protein p73	220804_s_at
INSR	2	4	0	atrt	226212_s_at	19p13.3-p13.2	insulin receptor	" 207851_s_at,213792_s_at"
RASA1	2	4	0	.	210621_s_at	5q13.3	RAS p21 protein activator (GTPase activating protein) 1	210621_s_at
STX16	2	4	0	atrt	221499_s_at	20q13.32	syntaxin 16	221499_s_at
CSF1	2	4	0	.	210557_x_at	1p21-p13	colony stimulating factor 1 (macrophage)	210557_x_at
VAV3	2	3	0	atrt	224221_s_at	1p13.3	vav 3 guanine nucleotide exchange factor	" 218806_s_at,218807_at"
IRS1	2	3	0	.	235392_at	2q36	insulin receptor substrate 1	204686_at
CDC2	2	3	0	.	203214_x_at	10q21.1	"cell division cycle 2, G1 to S and G2 to M"	203214_x_at
