V1	V2	V3	V4	V5	V6
7040	2	TGFB1	19q13.2|19q13.1	transforming growth factor, beta 1	 203084_at,203085_s_at
7042	5	TGFB2	1q41	transforming growth factor, beta 2	 209908_s_at,209909_s_at,220406_at,220407_s_at,228121_at
4851	2	NOTCH1	9q34.3	Notch homolog 1, translocation-associated (Drosophila)	 218902_at,223508_at
7049	2	TGFBR3	1p33-p32	transforming growth factor, beta receptor III	 204731_at,226625_at
9241	1	NOG	17q21-q22	noggin	231798_at
3082	5	HGF	7q21.1	hepatocyte growth factor (hepapoietin A; scatter factor)	 209960_at,209961_s_at,210755_at,210997_at,210998_s_at
1499	3	CTNNB1	3p21	catenin (cadherin-associated protein), beta 1, 88kDa	 1554411_at,201533_at,223679_at
650	2	BMP2	20p12	bone morphogenetic protein 2	 205289_at,205290_s_at
6615	1	SNAI1	20q13.1-q13.2	snail homolog 1 (Drosophila)	219480_at
7043	2	TGFB3	14q24	transforming growth factor, beta 3	 1555540_at,209747_at
6662	2	SOX9	17q24.3-q25.1	SRY (sex determining region Y)-box 9	 202935_s_at,202936_s_at
6275	1	S100A4	1q21	S100 calcium binding protein A4	203186_s_at
3182	2	HNRNPAB	5q35.3	heterogeneous nuclear ribonucleoprotein A/B	 201277_s_at,231060_at
3091	1	HIF1A	14q21-q24	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	200989_at
655	4	BMP7	20q13	bone morphogenetic protein 7	 209590_at,209591_s_at,211259_s_at,211260_at
10155	1	TRIM28	19q13.4	tripartite motif-containing 28	200990_at
265	1	AMELX	Xp22.31-p22.1	amelogenin (amelogenesis imperfecta 1, X-linked)	208410_x_at
6591	1	SNAI2	8q11	snail homolog 2 (Drosophila)	213139_at
3611	1	ILK	11p15.5-p15.4	integrin-linked kinase	201234_at
9113	3	LATS1	6q24-q25.1	LATS, large tumor suppressor, homolog 1 (Drosophila)	 1570231_at,1570425_s_at,219813_at
3690	7	ITGB3	17q21.32	integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	 204625_s_at,204626_s_at,204627_s_at,204628_s_at,211579_at,215240_at,216261_at
7852	3	CXCR4	2q21	chemokine (C-X-C motif) receptor 4	 209201_x_at,211919_s_at,217028_at
7474	2	WNT5A	3p21-p14	wingless-type MMTV integration site family, member 5A	 205990_s_at,213425_at
6935	4	ZEB1	10p11.2	zinc finger E-box binding homeobox 1	 210875_s_at,212758_s_at,212764_at,239952_at
2056	2	EPO	7q22	erythropoietin	 207257_at,217254_s_at
4323	4	MMP14	14q11-q12	matrix metallopeptidase 14 (membrane-inserted)	 160020_at,202827_s_at,202828_s_at,217279_x_at
1906	3	EDN1	6p24.1	endothelin 1	 1564630_at,218995_s_at,222802_at
3987	5	LIMS1	2q12.3-q13	LIM and senescent cell antigen-like domains 1	 1566127_at,1566129_at,1570259_at,207198_s_at,212687_at
3397	1	ID1	20q11	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein	208937_s_at
10413	3	YAP1	11q13	Yes-associated protein 1, 65kDa	 213342_at,224894_at,224895_at
50855	1	PARD6A	16q22.1	par-6 partitioning defective 6 homolog alpha (C. elegans)	205245_at
4950	1	OCLN	5q13.1	occludin	209925_at
4488	3	MSX2	5q34-q35	msh homeobox 2	 205555_s_at,205556_at,210319_x_at
54778	1	RNF111	15q21	ring finger protein 111	218761_at
11279	2	KLF8	Xp11.21	Kruppel-like factor 8	 219930_at,230986_at
11187	2	PKP3	11p15	plakophilin 3	 209872_s_at,209873_s_at
3918	2	LAMC2	1q25-q31	laminin, gamma 2	 202267_at,207517_at
1490	1	CTGF	6q23.1	connective tissue growth factor	209101_at
1445	1	CSK	15q23-q25	c-src tyrosine kinase	202329_at
5894	2	RAF1	3p25	v-raf-1 murine leukemia viral oncogene homolog 1	 1557675_at,201244_s_at
5747	4	PTK2	8q24-qter	PTK2 protein tyrosine kinase 2	 1559529_at,207821_s_at,208820_at,241453_at
857	2	CAV1	7q31.1	caveolin 1, caveolae protein, 22kDa	 203065_s_at,212097_at
7291	1	TWIST1	7p21.2	twist homolog 1 (Drosophila)	213943_at
2	2	A2M	12p13.3-p12.3	alpha-2-macroglobulin	 1558450_at,217757_at
21	1	ABCA3	16p13.3	ATP-binding cassette, sub-family A (ABC1), member 3	204343_at
10257	4	ABCC4	13q32	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	 1554918_a_at,1555039_a_at,203196_at,243928_s_at
10006	3	ABI1	10p11.2	abl-interactor 1	 1559890_a_at,209027_s_at,209028_s_at
25	1	ABL1	9q34.1	c-abl oncogene 1, receptor tyrosine kinase	202123_s_at
87	4	ACTN1	14q24.1-q24.2|14q24|14q22-q24	actinin, alpha 1	 208636_at,208637_x_at,211160_x_at,237401_at
100	2	ADA	20q12-q13.11	adenosine deaminase	 204639_at,216705_s_at
8038	4	ADAM12	10q26.3	ADAM metallopeptidase domain 12	 202952_s_at,204943_at,213790_at,215613_at
8751	2	ADAM15	1q21.3	ADAM metallopeptidase domain 15	 1555896_a_at,217007_s_at
57188	2	ADAMTSL3	15q25.2	ADAMTS-like 3	 1559748_at,213974_at
133	1	ADM	11p15.4	adrenomedullin	202912_at
158	2	ADSL	22q13.1|22q13.2	adenylosuccinate lyase	 202144_s_at,210250_x_at
199	4	AIF1	6p21.3	allograft inflammatory factor 1	 207823_s_at,209901_x_at,213095_x_at,215051_x_at
9131	1	AIFM1	Xq25-q26	apoptosis-inducing factor, mitochondrion-associated, 1	205512_s_at
207	1	AKT1	14q32.32|14q32.32	v-akt murine thymoma viral oncogene homolog 1	207163_s_at
10000	6	AKT3	1q43-q44	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	 212607_at,212609_s_at,219393_s_at,222880_at,224229_s_at,242876_at
230	1	ALDOC	17cen-q12	aldolase C, fructose-bisphosphate	202022_at
