ann.probe	tis.cnt	tis	lv.cnt	lv	fdf.pCsc	fdf.EscCsc	g.id.num	out.gid	g.sym	g.chr	n.ann.tsp	g.name	tcnd	cor.mean.csc	cor.mean.p	cor.mean.Esc
209714_s_at	4	lung atrt breast sf	"1,1,1,1"	"nov_set.a,nov_set.a,nov_set.a,nov_set.a"	-0.275228601	0.596317569	1	1033	CDKN3	chr14q22	23	cyclin-dependent kinase inhibitor 3	com	0.240947586	0.229103405	0.381484893
204286_s_at	4	lung atrt oral gbm	"1,1,1,1"	"nov_set.a,nov_set.a,nov_set.a,nov_set.a"	0.817794845	-0.088689601	1	5366	PMAIP1	chr18q21.32	4	phorbol-12-myristate-13-acetate-induced protein 1	gbm	0.238771244	0.318772678	0.475022543
204492_at	4	lung atrt breast sf	"1,1,1,1"	"nov_set.a,nov_set.a,nov_set.a,nov_set.a"	-0.30396408	0.253511019	1	9824	ARHGAP11A	chr15q13.2	2	Rho GTPase activating protein 11A	cn	0.231861191	0.330347435	0.453623565
206875_s_at	4	lung oral breast gbm	"1,1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc,g.lv3.csc"	0.335795275	1.466761735	1	9748	SLK	chr10q25.1	6	STE20-like kinase (yeast)	x	0.194989101	0.324661281	0.461113365
227933_at	3	lung atrt breast	"1,1,1"	"lv_set.a,lv_set.a,lv_set.a"	0.332287395	-1.46033095	1	84894	LINGO1	chr15q24.3	5	leucine rich repeat and Ig domain containing 1	snail	0.264839625	0.261547773	0.275058497
204285_s_at	3	lung oral gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.892757243	0.092519809	1	5366	PMAIP1	chr18q21.32	6	phorbol-12-myristate-13-acetate-induced protein 1	com	0.248153121	0.26651921	0.463384893
214591_at	3	lung atrt breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.069731734	-0.487326439	1	56062	KLHL4	chrXq21.3	3	kelch-like 4 (Drosophila)	atrt	0.246023301	0.26170965	0.182758969
204540_at	3	lung atrt breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.358699167	1.347187063	1	1917	EEF1A2	chr20q13.3	5	eukaryotic translation elongation factor 1 alpha 2	atrt	0.224546201	0.242445162	0.305993749
220060_s_at	3	lung breast sf	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.147882935	-0.002032825	1	55010	C12orf48	chr12q23.2	3	chromosome 12 open reading frame 48	atrt	0.255856936	0.324164554	0.42977385
243857_at	3	lung oral gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.790957911	1.266258517	1	9643	MORF4L2	chrXq22	1	Mrgx mRNA for MRGX	atrt	0.190202814	0.157984012	0.308537482
226958_s_at	3	lung breast gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.558713911	-0.803390519	1	400569	MED11	chr17p13.2	3	mediator complex subunit 11	atrt	0.188091413	0.203143194	0.386702179
219787_s_at	3	lung oral breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.175607613	0.517111372	1	1894	ECT2	chr3q26.1-q26.2	6	epithelial cell transforming sequence 2 oncogene	atrt	0.224747734	0.326065104	0.410949764
231927_at	3	lung atrt gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.58700166	1.667078249	1	22926	ATF6	chr1q22-q23	1	ATF family member ATF6 (ATF6)	cn	0.219216467	0.324757211	0.216383692
203891_s_at	3	lung atrt breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.169866749	-1.16822461	1	1613	DAPK3	chr19p13.3	6	death-associated protein kinase 3	snail	0.210066227	0.229740014	0.344067278
215342_s_at	3	lung oral breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.017249131	-1.324347226	1	9910	RABGAP1L	chr1q24	12	RAB GTPase activating protein 1-like	lg	0.222333647	0.285108631	0.353140776
217968_at	3	lung gbm sf	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.791470219	0.116417206	1	7260	TSSC1	chr2p25.3	7	tumor suppressing subtransferable candidate 1	lg	0.226672324	0.285922035	0.369091468
200659_s_at	3	lung colon sf	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-1.219656257	-1.093148188	1	5245	PHB	chr17q21	2	prohibitin	lg	0.217516527	0.280105291	0.3175844
208654_s_at	3	lung oral breast	"1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc"	0.173019134	1.529733181	1	8763	CD164	chr6q21	12	"CD164 molecule, sialomucin"	x	0.217652118	0.291468227	0.296498014
222857_s_at	2	lung breast	"1,1"	"lv_set.a,lv_set.a"	0.349627859	-1.187553103	1	27345	KCNMB4	chr12q	6	"potassium large conductance calcium-activated channel, subfamily M, beta member 4"	com	0.242056045	0.212714269	0.436906716
214548_x_at	2	lung breast	"2,2"	"lv_set.a g.lv3.csc,lv_set.a g.lv3.csc"	-0.015683673	1.071604723	1	2778	GNAS	chr20q13.3	31	GNAS complex locus	atrt	0.222229934	0.199268392	0.447430276
219375_at	2	lung breast	"2,2"	"lv_set.a g.lv3.csc,lv_set.a g.lv3.csc"	0.484857747	1.256863233	1	10390	CEPT1	chr1p13.3	8	choline/ethanolamine phosphotransferase 1	lg	0.243741638	0.277712608	0.38940469
