label	n.type	n.nb	n.foc	ind.g	pbs	chr	gname	x
ERBB2	1	7	58.25	ipa	" 210930_s_at,216836_s_at"	17q11.2-q12|17q21.1	"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)"	210930_s_at
MYC	1	7	57	ipa	202431_s_at	8q24.21	v-myc myelocytomatosis viral oncogene homolog (avian)	202431_s_at
PRC1	1	4	52.5	ipa	218009_s_at	15q26.1	protein regulator of cytokinesis 1	218009_s_at
DNMT3A	1	3	46.33333333	focus	218457_s_at	2p23	DNA (cytosine-5-)-methyltransferase 3 alpha	218457_s_at
CBX5	1	3	36	ipa	" 209715_at,212126_at"	12q13.13	"chromobox homolog 5 (HP1 alpha homolog, Drosophila)"	209715_at
RHOA	1	3	24.33333333	ipa	200059_s_at	3p21.3	"ras homolog gene family, member A"	200059_s_at
TGFB1	1	3	24.33333333	ipa	" 203084_at,203085_s_at"	19q13.2|19q13.1	"transforming growth factor, beta 1"	203084_at
ESR1	1	7	18.5	ipa	" 205225_at,211233_x_at,211234_x_at,211235_s_at,211627_x_at,215551_at,215552_s_at,217163_at,217190_x_at"	6q25.1	estrogen receptor 1	211233_x_at
STAT3	1	3	18.5	ipa	" 208991_at,208992_s_at"	17q21.31	signal transducer and activator of transcription 3 (acute-phase response factor)	"208991_at,208992_s_at"
ERBB4	1	2	18.5	ipa	" 206794_at,214053_at"	2q33.3-q34	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian)	"206794_at,214053_at"
MACF1	1	2	18.5	ipa	" 207358_x_at,208633_s_at,208634_s_at,214894_x_at,215222_x_at"	1p32-p31	microtubule-actin crosslinking factor 1	215222_x_at
TNF	1	2	0.5	ipa	207113_s_at	6p21.3	"tumor necrosis factor (TNF superfamily, member 2)"	207113_s_at
HDAC2	2	8	0	ipa	201833_at	6q21	histone deacetylase 2	201833_at
HDAC1	2	8	0	ipa	201209_at	1p34	histone deacetylase 1	201209_at
BRCA1	2	6	0	ipa	" 204531_s_at,211851_x_at"	17q21	"breast cancer 1, early onset"	204531_s_at
TP53	2	6	0	ipa	" 201746_at,211300_s_at"	17p13.1	tumor protein p53	201746_at
RBBP4	2	6	0	ipa	" 210371_s_at,217301_x_at"	1p35.1	retinoblastoma binding protein 4	201092_at
RBBP7	2	6	0	ipa	201092_at	Xp22.2	retinoblastoma binding protein 7	201092_at
MBD2	2	5	0	focus	" 202484_s_at,202485_s_at,214396_s_at,214397_at"	18q21	methyl-CpG binding domain protein 2	202485_s_at
PLK1	2	4	0	focus	202240_at	16p12.1	polo-like kinase 1 (Drosophila)	202240_at
TIA1	2	4	0	focus	" 201446_s_at,201447_at,201448_at,201449_at,201450_s_at"	2p13	TIA1 cytotoxic granule-associated RNA binding protein	"200073_s_at,205183_at,209330_s_at,213359_at,221480_at,221481_x_at"
