gnr.pb	gnr.id	gnr.sym	gnr.chr	l.cnt	l.type.cnt	l.cond.cnt	or	lung	gbm	atrt	br	cn	snail	sf	gnr.name
221591_s_at	54478	FAM64A	chr17p13.2	3	2	1	0	1	0	1	0	0	0	1	family with sequence similarity 64, member A
235289_at	56648	EIF5A2	chr3q26.2	2	1	1	1	0	0	0	0	0	0	1	eukaryotic translation initiation factor 5A2
201567_s_at	2803	GOLGA4	chr3p22-p21.3	2	2	0	1	0	0	0	0	1	0	0	golgi autoantigen, golgin subfamily a, 4
204285_s_at	5366	PMAIP1	chr18q21.32	2	1	1	1	0	0	0	0	0	1	0	phorbol-12-myristate-13-acetate-induced protein 1
217816_s_at	57092	PCNP	chr3q12.3	2	2	0	1	0	0	1	0	0	0	0	PEST proteolytic signal containing nuclear protein
205090_s_at	51172	NAGPA	chr16p13.3	2	1	1	1	0	0	0	0	0	0	1	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
201448_at	7072	TIA1	chr2p13	2	2	0	1	0	0	0	0	1	0	0	TIA1 cytotoxic granule-associated RNA binding protein
1554868_s_at	57092	PCNP	chr3q12.3	2	1	1	1	0	0	0	0	0	1	0	PEST proteolytic signal containing nuclear protein
209714_s_at	1033	CDKN3	chr14q22	2	2	0	0	1	0	1	0	0	0	0	cyclin-dependent kinase inhibitor 3
205043_at	1080	CFTR	chr7q31.2	2	1	1	0	1	0	0	0	0	1	0	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)
227795_at	4723	NDUFV1	chr11q13	2	1	1	0	1	0	0	0	0	1	0	NDUFV1=NADH:ubiquinone oxidoreductase flavoprotein 1 subunit [human, kidney, mRNA Partial, 771 nt]
215065_at	23133	PHF8	chrXp11.22	2	2	0	0	1	1	0	0	0	0	0	PHD finger protein 8
223822_at	55061	SUSD4	chr1q41	2	2	0	0	1	1	0	0	0	0	0	sushi domain containing 4
211713_x_at	9768	KIAA0101	chr15q22.31	2	1	1	0	1	0	0	0	0	0	1	KIAA0101
203978_at	4682	NUBP1	chr16p13.13	2	1	1	0	1	0	0	0	0	0	1	nucleotide binding protein 1 (MinD homolog, E. coli)
36920_at	4534	MTM1	chrXq28	2	2	0	0	0	1	0	0	1	0	0	myotubularin 1
207812_s_at	26003	GORASP2	chr2q31.1-q31.2	2	2	0	0	0	1	0	0	1	0	0	golgi reassembly stacking protein 2, 55kDa
207341_at	5657	PRTN3	chr19p13.3	2	2	0	0	0	1	0	1	0	0	0	proteinase 3
213431_x_at	9814	SFI1	chr22q12.2	2	1	1	0	0	1	0	0	0	0	1	Sfi1 homolog, spindle assembly associated (yeast)
