order.probe	ann.probe	tis.cnt	tis	lv.cnt	lv	fdf.pCsc	fdf.EscCsc	g.id.num	out.gid	g.sym	g.chr	n.ann.tsp	g.name	tcnd	cor.mean.csc	cor.mean.p	cor.mean.Esc
209714_s_at	209714_s_at	4	lung atrt breast sf	"1,1,1,1"	"nov_set.a,nov_set.a,nov_set.a,nov_set.a"	-0.275228601	0.596317569	1	1033	CDKN3	chr14q22	23	cyclin-dependent kinase inhibitor 3	com	0.240947586	0.229103405	0.381484893
213599_at	213599_at	4	colon breast gbm sf	"1,1,1,1"	"nov_set.a,nov_set.a,nov_set.a,nov_set.a"	-0.731434935	-1.442526242	1	11339	OIP5	chr15q15.1	3	Opa interacting protein 5	com	0.250981843	0.283125615	0.383294852
206875_s_at	206875_s_at	4	lung oral breast gbm	"1,1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc,g.lv3.csc"	0.335795275	1.466761735	1	9748	SLK	chr10q25.1	6	STE20-like kinase (yeast)	x	0.194989101	0.324661281	0.461113365
201567_s_at	201567_s_at	3	oral colon gbm	"2,2,2"	"lv_set.a g.lv3.csc,lv_set.a g.lv3.csc,lv_set.a g.lv3.csc"	0.796419343	0.942989818	1	2803	GOLGA4	chr3p22-p21.3	8	"golgi autoantigen, golgin subfamily a, 4"	com	0.20875942	0.338273903	0.375557854
201448_at	201448_at	3	oral colon breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.320981254	-0.131489493	1	7072	TIA1	chr2p13	3	TIA1 cytotoxic granule-associated RNA binding protein	com	0.300302806	0.365824017	0.484766
1552519_at	1552519_at	3	atrt oral breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	1.033022356	0.473559393	1	130399	ACVR1C	chr2q24.1	9	"activin A receptor, type IC"	com	0.250546932	0.211676898	0.272396357
204285_s_at	204285_s_at	3	lung oral gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.892757243	0.092519809	1	5366	PMAIP1	chr18q21.32	6	phorbol-12-myristate-13-acetate-induced protein 1	com	0.248153121	0.26651921	0.463384893
214331_at	214331_at	3	oral colon breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.739685699	-0.050521823	1	10102	TSFM	chr12q13-q14	2	"Ts translation elongation factor, mitochondrial"	com	0.252879157	0.274456479	0.357439614
229194_at	229194_at	3	oral colon breast	"1,1,1"	"g.lv6.csc.Esc,g.lv6.csc.Esc,g.lv6.csc.Esc"	0.564385299	2.068434368	1	84333	PCGF5	chr10q23.32	4	polycomb group ring finger 5	x	0.274532694	0.21114456	0.350817397
208654_s_at	208654_s_at	3	lung oral breast	"1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc"	0.173019134	1.529733181	1	8763	CD164	chr6q21	12	"CD164 molecule, sialomucin"	x	0.217652118	0.291468227	0.296498014
1554362_at	1554362_at	3	atrt oral breast	"1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc"	-0.113725091	-0.542911297	1	54766	BTG4	chr11q23	1	B-cell translocation gene 4	x	0.193802589	0.291268835	0.439184227
223529_at	223529_at	3	atrt oral gbm	"1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc"	-0.291485441	-1.638898003	1	6860	SYT4	chr18q12.3	4	synaptotagmin IV	x	0.209574252	0.239604904	0.301261439
210937_s_at	210937_s_at	3	oral breast gbm	"1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc"	-0.751312762	-1.319664609	1	3651	PDX1	chr13q12.1	4	pancreatic and duodenal homeobox 1	x	0.180762186	0.248289344	0.308581325
224984_at	224984_at	2	oral colon	"1,1"	"nov_set.a,nov_set.a"	0.615009241	1.351031642	1	10725	NFAT5	chr16q22.1	9	"nuclear factor of activated T-cells 5, tonicity-responsive"	com	0.259430308	0.327075961	0.466804025
226858_at	226858_at	2	colon breast	"1,1"	"nov_set.a,nov_set.a"	0.839604727	1.02726347	1	1454	CSNK1E	chr22q13.1	1	"casein kinase 1, epsilon"	com	0.229564367	0.280712858	0.36169359
235289_at	235289_at	2	oral gbm	"1,1"	"lv_set.a,lv_set.a"	0.729934934	1.699678985	1	56648	EIF5A2	chr3q26.2	3	eukaryotic translation initiation factor 5A2	com	0.235391953	0.232965717	0.242581907
1554868_s_at	1554868_s_at	2	oral breast	"1,1"	"nov_set.a,nov_set.a"	0.729376801	1.219567598	1	57092	PCNP	chr3q12.3	7	PEST proteolytic signal containing nuclear protein	com	0.244617416	0.331809814	0.335394275
224454_at	224454_at	2	colon breast	"1,1"	"nov_set.a,nov_set.a"	0.839064525	0.79181866	1	55500	ETNK1	chr12p12.1	2	ethanolamine kinase 1	com	0.227515757	0.177938057	0.223553909
