ann.probe	tis.cnt	tis	lv.cnt	lv	fdf.pCsc	fdf.EscCsc	g.id.num	out.gid	g.sym	g.chr	n.ann.tsp	g.name	tcnd	cor.mean.csc	cor.mean.p	cor.mean.Esc
209714_s_at	4	lung atrt breast sf	"1,1,1,1"	"nov_set.a,nov_set.a,nov_set.a,nov_set.a"	-0.275228601	0.596317569	1	1033	CDKN3	chr14q22	23	cyclin-dependent kinase inhibitor 3	com	0.240947586	0.229103405	0.381484893
204286_s_at	4	lung atrt oral gbm	"1,1,1,1"	"nov_set.a,nov_set.a,nov_set.a,nov_set.a"	0.817794845	-0.088689601	1	5366	PMAIP1	chr18q21.32	4	phorbol-12-myristate-13-acetate-induced protein 1	gbm	0.238771244	0.318772678	0.475022543
204492_at	4	lung atrt breast sf	"1,1,1,1"	"nov_set.a,nov_set.a,nov_set.a,nov_set.a"	-0.30396408	0.253511019	1	9824	ARHGAP11A	chr15q13.2	2	Rho GTPase activating protein 11A	cn	0.231861191	0.330347435	0.453623565
206875_s_at	4	lung oral breast gbm	"1,1,1,1"	"g.lv3.csc,g.lv3.csc,g.lv3.csc,g.lv3.csc"	0.335795275	1.466761735	1	9748	SLK	chr10q25.1	6	STE20-like kinase (yeast)	x	0.194989101	0.324661281	0.461113365
232035_at	4	atrt colon breast gbm	"1,1,1,1"	"nov_set.a,nov_set.a,nov_set.a,nov_set.a"	-0.049850838	-0.063539043	14	121504   554313   8294   8359   8360   8361   8362   8363   8364   8365   8366   8367   8368   8370	HIST1H4A /// HIST1H4B /// HIST1H4C /// HIST1H4D /// HIST1H4E /// HIST1H4F /// HIST1H4H /// HIST1H4I /// HIST1H4J /// HIST1H4K /// HIST1H4L /// HIST2H4A /// HIST2H4B /// HIST4H4	chr12p12.3 /// chr1q21 /// chr6p21.3 /// chr6p21.33 /// chr6p22-p21.3	14	"histone cluster 1, H4a /// histone cluster 1, H4b /// histone cluster 1, H4c /// histone cluster 1, H4d /// histone cluster 1, H4e /// histone cluster 1, H4f /// histone cluster 1, H4h /// histone cluster 1, H4i /// histone cluster 1, H4j /// histone cluster 1, H4k /// histone cluster 1, H4l /// histone cluster 2, H4a /// histone cluster 2, H4b /// histone cluster 4, H4"	sf	0.216551207	0.242203399	0.202795228
213599_at	4	colon breast gbm sf	"1,1,1,1"	"nov_set.a,nov_set.a,nov_set.a,nov_set.a"	-0.731434935	-1.442526242	1	11339	OIP5	chr15q15.1	3	Opa interacting protein 5	com	0.250981843	0.283125615	0.383294852
227933_at	3	lung atrt breast	"1,1,1"	"lv_set.a,lv_set.a,lv_set.a"	0.332287395	-1.46033095	1	84894	LINGO1	chr15q24.3	5	leucine rich repeat and Ig domain containing 1	snail	0.264839625	0.261547773	0.275058497
204285_s_at	3	lung oral gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.892757243	0.092519809	1	5366	PMAIP1	chr18q21.32	6	phorbol-12-myristate-13-acetate-induced protein 1	com	0.248153121	0.26651921	0.463384893
214591_at	3	lung atrt breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.069731734	-0.487326439	1	56062	KLHL4	chrXq21.3	3	kelch-like 4 (Drosophila)	atrt	0.246023301	0.26170965	0.182758969
204540_at	3	lung atrt breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.358699167	1.347187063	1	1917	EEF1A2	chr20q13.3	5	eukaryotic translation elongation factor 1 alpha 2	atrt	0.224546201	0.242445162	0.305993749
220060_s_at	3	lung breast sf	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.147882935	-0.002032825	1	55010	C12orf48	chr12q23.2	3	chromosome 12 open reading frame 48	atrt	0.255856936	0.324164554	0.42977385
243857_at	3	lung oral gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.790957911	1.266258517	1	9643	MORF4L2	chrXq22	1	Mrgx mRNA for MRGX	atrt	0.190202814	0.157984012	0.308537482
226958_s_at	3	lung breast gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.558713911	-0.803390519	1	400569	MED11	chr17p13.2	3	mediator complex subunit 11	atrt	0.188091413	0.203143194	0.386702179
219787_s_at	3	lung oral breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.175607613	0.517111372	1	1894	ECT2	chr3q26.1-q26.2	6	epithelial cell transforming sequence 2 oncogene	atrt	0.224747734	0.326065104	0.410949764
231927_at	3	lung atrt gbm	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.58700166	1.667078249	1	22926	ATF6	chr1q22-q23	1	ATF family member ATF6 (ATF6)	cn	0.219216467	0.324757211	0.216383692
203891_s_at	3	lung atrt breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.169866749	-1.16822461	1	1613	DAPK3	chr19p13.3	6	death-associated protein kinase 3	snail	0.210066227	0.229740014	0.344067278
215342_s_at	3	lung oral breast	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	0.017249131	-1.324347226	1	9910	RABGAP1L	chr1q24	12	RAB GTPase activating protein 1-like	lg	0.222333647	0.285108631	0.353140776
217968_at	3	lung gbm sf	"1,1,1"	"nov_set.a,nov_set.a,nov_set.a"	-0.791470219	0.116417206	1	7260	TSSC1	chr2p25.3	7	tumor suppressing subtransferable candidate 1	lg	0.226672324	0.285922035	0.369091468
